"Ticker","TickerType","Company","Traded","Transaction","Trade_Size_USD","Subholding","Description","Name","Filed","Party","District","Chamber","Comments","excess_return","State","last_modified"
"PX","ST","PRAXAIR, INC.",2018-04-27,"Purchase","$1,001 - $15,000","MERRILL LYNCH INVESTMENT ACCOUNTS","","Lamar Smith",2018-05-08,"R"," TX21","House","",-186.545520062628,"Texas",2023-11-16
"BMRN","ST","BIOMARIN PHARMACEUTICAL INC.",2018-04-27,"Purchase","$1,001 - $15,000","NEUBERGER BERMAN - TRADITIONAL IRA","","Alan S. Lowenthal",2018-05-03,"D"," CA47","House","",-92.4253622120042,"California",2023-11-16
"UFS","ST","DOMTAR CORPORATION",2018-04-27,"Purchase","$15,001 - $50,000","","","Virginia Foxx",2018-05-10,"R"," NC05","House","",-48.7269952531036,"North Carolina",2023-11-16
"BBT","ST","BB&T CORPORATION",2018-04-27,"Sale","$15,001 - $50,000"," LIVTR","","Richard W. Allen",2023-08-10,"R"," GA12","House","",-16.5212737887229,"Georgia",2023-11-16
"SRE","ST","SEMPRA ENERGY",2018-04-27,"Purchase","$1,001 - $15,000","NEUBERGER BERMAN - BENEFICIARY IRA","","Alan S. Lowenthal",2018-05-03,"D"," CA47","House","",-66.4712472079251,"California",2023-11-16
"WBA","ST","WALGREENS BOOTS ALLIANCE, INC.",2018-04-27,"Purchase","$1,001 - $15,000","WELCH ACCOUNT","","Peter Welch",2018-05-08,"D"," VT00","House","",-160.879786241679,"Vermont",2023-11-16
"T","ST","AT&T INC.",2018-04-27,"Purchase","$1,001 - $15,000","","","Earl Blumenauer",2018-05-11,"D"," OR03","House","",-152.927595728866,"Oregon",2023-11-16
"USG","Stock","USG Corporation",2018-04-27,"Sale (Partial)","$1,001 - $15,000","","","Perdue, David",2018-05-01,"R","","Senate","",-127.40768036759,"Georgia",2023-08-28
"SRE","ST","SEMPRA ENERGY",2018-04-27,"Purchase","$15,001 - $50,000","NEUBERGER BERMAN - TRADITIONAL IRA","","Alan S. Lowenthal",2018-05-03,"D"," CA47","House","",-66.4712472079251,"California",2023-11-16
"BAC","ST","BANK OF AMERICA CORPORATION",2018-04-26,"Sale","$1,001 - $15,000","FIDELITY INVESTMENTS BROKERAGE ACCOUNT","","Carlos Curbelo",2018-05-23,"R"," FL26","House","",-74.3488510187855,"Florida",2023-11-16
"BMRN","ST","BIOMARIN PHARMACEUTICAL INC.",2018-04-26,"Purchase","$1,001 - $15,000","NEUBERGER BERMAN - TRADITIONAL IRA","","Alan S. Lowenthal",2018-05-03,"D"," CA47","House","",-90.459129314607,"California",2023-11-16
"EFX","ST","EQUIFAX, INC.",2018-04-26,"Purchase","$231.65","NEUBERGER BERMAN - BENEFICIARY IRA","","Alan S. Lowenthal",2018-05-03,"D"," CA47","House","",26.0007170423328,"California",2023-11-16
"ALLY.A","CS","GMAC CAP TRUST I 8.125% TO 2/15/2016 FLOATS AFTER",2018-04-26,"Sale","$15,001 - $50,000","MORGAN STANLEY SMITH BARNEY LLC IRA","CORPORATE BOND","Debbie Dingell",2018-05-03,"D"," MI12","House","",NA,"Michigan",2023-11-16
